Title,Rating,Votes,Duration,Genre
1. The Unholy Trinity,6.2, (294),1h 35m,Adventure
2. Gladiator II,6.5, (250K),2h 28m,Adventure
3. Dune: Part Two,8.5, (640K),2h 46m,Adventure
4. Venom: The Last Dance,6.0, (128K),1h 50m,Adventure
5. Twisters,6.5, (175K),2h 2m,Adventure
6. Deadpool & Wolverine,7.5, (506K),2h 8m,Adventure
7. Kraven the Hunter,5.5, (62K),2h 7m,Adventure
8. Flow,7.9, (83K),1h 25m,Adventure
9. Mufasa: The Lion King,6.6, (70K),1h 58m,Adventure
10. Moana 2,6.6, (108K),1h 40m,Adventure
11. Furiosa: A Mad Max Saga,7.5, (291K),2h 28m,Adventure
12. Freaky Tales,6.2, (7K),1h 47m,Adventure
13. Cells at Work!,6.7, (638),1h 49m,Adventure
14. Sonic the Hedgehog 3,6.9, (64K),1h 50m,Adventure
15. The Count of Monte-Cristo,7.6, (37K),2h 58m,Adventure
16. Paddington in Peru,6.7, (25K),1h 46m,Adventure
17. Borderlands,4.7, (50K),1h 41m,Adventure
18. Transformers One,7.6, (54K),1h 44m,Adventure
19. Godzilla x Kong: The New Empire,6.0, (124K),1h 55m,Adventure
20. Ghostbusters: Frozen Empire,6.1, (95K),1h 55m,Adventure
21. Inside Out 2,7.5, (222K),1h 36m,Adventure
22. The Return,6.2, (10K),1h 56m,Adventure
23. Despicable Me 4,6.2, (68K),1h 34m,Adventure
24. Kingdom of the Planet of the Apes,6.8, (154K),2h 25m,Adventure
25. Damsel,6.1, (111K),1h 50m,Adventure
26. Bad Boys: Ride or Die,6.5, (102K),1h 55m,Adventure
27. Red One,6.3, (142K),2h 3m,Adventure
28. The Lord of the Rings: The War of the Rohirrim,6.3, (33K),2h 14m,Adventure
29. Kung Fu Panda 4,6.3, (70K),1h 34m,Adventure
30. Survive,4.6, (3K),1h 30m,Adventure
31. Attack on Titan the Movie: The Last Attack,9.2, (17K),2h 25m,Adventure
32. The Day the Earth Blew Up: A Looney Tunes Movie,6.9, (5.3K),1h 31m,Adventure
33. Uglies,4.7, (34K),1h 40m,Adventure
34. Harold and the Purple Crayon,5.7, (8.8K),1h 30m,Adventure
35. Atlas,5.6, (57K),1h 58m,Adventure
36. Spaceman,5.7, (44K),1h 47m,Adventure
37. Monster Summer,5.7, (4.1K),1h 37m,Adventure
38. The Garfield Movie,5.7, (25K),1h 41m,Adventure
39. Solo Leveling: ReAwakening,8.8, (14K),2h 1m,Adventure
40. Spellbound,5.5, (7.8K),1h 49m,Adventure
41. Kalki 2898-AD,7.0, (68K),3h,Adventure
42. Arthur the King,7.0, (35K),1h 47m,Adventure
43. Sketch,8.4, (67),1h 32m,Adventure
44. Wallace & Gromit: Vengeance Most Fowl,7.5, (36K),1h 22m,Adventure
45. Rebel Moon - Part Two: The Scargiver,5.3, (60K),2h 2m,Adventure
46. Sunlight,7.6, (30),1h 36m,Adventure
47. Lost on a Mountain in Maine,6.1, (1.5K),1h 38m,Adventure
48. My Penguin Friend,6.8, (5.7K),1h 37m,Adventure
49. Family Pack,5.5, (9.5K),1h 34m,Adventure
50. Orion and the Dark,6.3, (18K),1h 33m,Adventure
51. No Way Up,4.6, (11K),1h 30m,Adventure
52. The Goat Life,7.1, (48K),2h 53m,Adventure
53. Crayon Shin-chan: Our Dinosaur Diary,6.6, (594),1h 46m,Adventure
54. Return to Wickensburg,4.8, (68),1h 28m,Adventure
55. Descendants: The Rise of Red,4.7, (7.2K),1h 31m,Adventure
56. Unspeakable: Beyond the Wall of Sleep,5.0, (98),1h 30m,Adventure
57. Sasquatch Sunset,5.4, (5.6K),1h 28m,Adventure
58. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.8K),1h 33m,Adventure
59. Saint-Exupéry,5.4, (492),1h 38m,Adventure
60. Dragonkeeper,5.7, (1.8K),1h 38m,Adventure
61. The Great Lillian Hall,7.3, (2.1K),1h 50m,Adventure
62. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.8K),1h 34m,Adventure
63. Winner,6.5, (2.7K),1h 43m,Adventure
64. My Hero Academia: You're Next,7.0, (2.6K),1h 50m,Adventure
65. Devara Part 1,6.0, (21K),2h 56m,Adventure
66. Manjummel Boys,8.2, (28K),2h 15m,Adventure
67. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.6K),1h 55m,Adventure
68. Overlord: The Sacred Kingdom,6.9, (1.4K),2h 15m,Adventure
69. River of Blood,5.0, (2K),1h 26m,Adventure
70. Bookworm,6.0, (2.1K),1h 43m,Adventure
71. That Christmas,6.8, (17K),1h 31m,Adventure
72. Escape from the 21st Century,6.4, (1K),1h 38m,Adventure
73. Badland Hunters,5.9, (13K),1h 47m,Adventure
74. The Best Christmas Pageant Ever,6.8, (6.2K),1h 39m,Adventure
75. Something in the Water,4.1, (5K),1h 26m,Adventure
76. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2, (8.8K),1h 44m,Adventure
77. Kanguva,4.5, (15K),2h 32m,Adventure
78. Son's Will,7.4, (1K),2h 28m,Adventure
79. The Wages of Fear,4.6, (4.2K),1h 44m,Adventure
80. Captain Miller,6.9, (11K),2h 37m,Adventure
81. The Last Redemption,6.9, (5.2K),2h 2m,Adventure
82. A.R.M,7.1, (8.9K),2h 30m,Adventure
83. Hanu Man,7.7, (29K),2h 38m,Adventure
84. The Twisters,2.6, (393),1h 26m,Adventure
85. Hitpig,5.1, (1.1K),1h 26m,Adventure
86. Escape,6.4, (2.2K),1h 34m,Adventure
87. Anaconda,4.9, (665),1h 24m,Adventure
88. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.6K),1h 34m,Adventure
89. Bade Miyan Chote Miyan,3.7, (39K),2h 43m,Adventure
90. The Courier,6.0, (4.5K),1h 41m,Adventure
91. Ultraman: Rising,6.9, (6.6K),1h 57m,Adventure
92. Night of the Zoopocalypse,6.0, (898),1h 31m,Adventure
93. Thangalaan,6.5, (6.8K),2h 36m,Adventure
94. Kalvan,5.6, (989),2h 22m,Adventure
95. Sixty Minutes,5.7, (5.3K),1h 28m,Adventure
96. Buffalo Kids,6.6, (770),1h 33m,Adventure
97. Megamind vs. The Doom Syndicate,2.5, (5.7K),1h 23m,Adventure
98. Bambi: A Tale of Life in The Woods,5.6, (245),1h 18m,Adventure
99. A Legend,4.7, (1K),2h 9m,Adventure
100. 200% Wolf,5.9, (1.3K),1h 38m,Adventure
101. Cult Killer,4.8, (2.9K),1h 45m,Adventure
102. The Price of Money: A Largo Winch Adventure,5.1, (1.3K),1h 40m,Adventure
103. Empire Queen,3.2, (233),2h 28m,Adventure
104. Dongeng Sang Kancil,6.6, (218),1h 39m,Adventure
105. Raqa,5.6, (299),1h 47m,Adventure
106. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (4K),1h 22m,Adventure
107. Ayalaan,5.9, (4K),2h 35m,Adventure
108. This Too Shall Pass,8.5, (18),1h 45m,Adventure
109. Robin and the Hoods,4.3, (540),1h 40m,Adventure
110. Thelma the Unicorn,5.7, (3K),1h 33m,Adventure
111. No Chains No Masters,6.3, (650),1h 38m,Adventure
112. Seeds,5.0, (221),1h 22m,Adventure
113. Diving Into the Darkness,8.9, (91),1h 36m,Adventure
114. Ghost Island,7.4, (50),1h 35m,Adventure
115. The Firing Squad,5.1, (5.1K),1h 33m,Adventure
116. Going Viral,8.3, (300),1h 30m,Adventure
117. The Backrooms,8.2, (15),1h 3m,Adventure
118. Patsy Lee & the Keepers of the 5 Kingdoms,4.0, (230),1h 49m,Adventure
119. Guest from the Future,6.0, (1.3K),2h 21m,Adventure
120. My Oni Girl,6.0, (1.8K),1h 52m,Adventure
121. My Freaky Family,6.2, (423),1h 26m,Adventure
122. Devil's Knight,5.3, (962),1h 30m,Adventure
123. Never Look Away,7.1, (286),1h 25m,Adventure
124. Birds Flying East,5.8, (602),1h 40m,Adventure
125. Bull Shark 3,3.5, (92),1h 16m,Adventure
126. Dragon Ball Kai: Doragon Bôru Kai,8.5, (84),1h 22m,Adventure
127. Trifole,7.5, (59),1h 40m,Adventure
128. Next to Us,4.8, (229),2h 5m,Adventure
129. Oscar Wilde About America,4.6, (35),1h 38m,Adventure
130. Gladiators,4.5, (109),1h 35m,Adventure
"131. I, the Executioner",6.3, (2K),1h 58m,Adventure
132. The Tiger's Apprentice,5.7, (2.2K),1h 24m,Adventure
133. Woody Woodpecker Goes to Camp,4.5, (2.6K),1h 40m,Adventure
134. Eat the Night,6.0, (560),1h 46m,Adventure
135. The Empire,5.2, (1.3K),1h 50m,Adventure
136. Bureau 749,4.0, (575),2h 3m,Adventure
137. Man and Witch: The Dance of a Thousand Steps,5.5, (351),1h 34m,Adventure
138. Angels Fallen: Warriors of Peace,4.8, (5.8K),1h 43m,Adventure
139. Golden Kamuy,6.3, (2.6K),2h 7m,Adventure
140. Rebellious,6.1, (233),1h 34m,Adventure
141. Noah's Ark,4.3, (700),1h 36m,Adventure
142. The Sloth Lane,5.6, (233),1h 30m,Adventure
143. Operation Blood Hunt,3.4, (511),1h 33m,Adventure
144. The Kingdom,7.0, (144),2h 13m,Adventure
145. Autumn and the Black Jaguar,5.6, (1K),1h 40m,Adventure
146. Kaizen,7.1, (734),2h 40m,Adventure
147. Oculus,6.0, (15),1h 53m,Adventure
148. Gaami,6.3, (2.1K),2h 27m,Adventure
149. The Mountain,6.6, (166),1h 29m,Adventure
151. Witch Hunter,4.8, (26),1h 20m,Adventure
152. Dalia y el Libro Rojo,5.9, (148),1h 47m,Adventure
153. Poklad,4.4, (49),1h 40m,Adventure
154. School of Magical Animals 3,5.7, (346),1h 45m,Adventure
