Title,Rating,Votes,Duration,Genre
1. The Wild Robot,8.2, (179K),1h 42m,Animation
2. Flow,7.9, (83K),1h 25m,Animation
3. Mufasa: The Lion King,6.6, (70K),1h 58m,Animation
4. Moana 2,6.6, (108K),1h 40m,Animation
5. Paddington in Peru,6.7, (25K),1h 46m,Animation
6. Transformers One,7.6, (54K),1h 44m,Animation
7. Inside Out 2,7.5, (222K),1h 36m,Animation
8. Despicable Me 4,6.2, (68K),1h 34m,Animation
9. IF,6.4, (59K),1h 44m,Animation
10. The Lord of the Rings: The War of the Rohirrim,6.3, (33K),2h 14m,Animation
11. Kung Fu Panda 4,6.3, (70K),1h 34m,Animation
12. Attack on Titan the Movie: The Last Attack,9.2, (17K),2h 25m,Animation
13. The Day the Earth Blew Up: A Looney Tunes Movie,6.9, (5.3K),1h 31m,Animation
14. Memoir of a Snail,7.8, (19K),1h 35m,Animation
15. Harold and the Purple Crayon,5.7, (8.8K),1h 30m,Animation
16. The Garfield Movie,5.7, (25K),1h 41m,Animation
17. Solo Leveling: ReAwakening,8.8, (14K),2h 1m,Animation
18. Spellbound,5.5, (7.8K),1h 49m,Animation
19. Wallace & Gromit: Vengeance Most Fowl,7.5, (36K),1h 22m,Animation
20. Spermageddon,5.6, (1K),1h 20m,Animation
21. Piece by Piece,6.9, (6K),1h 33m,Animation
22. Look Back,7.8, (16K),58m,Animation
23. Dan Da Dan: First Encounter,8.2, (2.9K),1h 23m,Animation
24. Watchmen: Chapter I,7.1, (7K),1h 23m,Animation
25. Orion and the Dark,6.3, (18K),1h 33m,Animation
26. Crayon Shin-chan: Our Dinosaur Diary,6.6, (594),1h 46m,Animation
27. Watchmen: Chapter II,7.1, (3.4K),1h 30m,Animation
28. The Remarkable Life of Ibelin,8.2, (13K),1h 43m,Animation
29. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.8K),1h 33m,Animation
30. Xiong shi shao nian 2,7.5, (354),2h 14m,Animation
31. Dragonkeeper,5.7, (1.8K),1h 38m,Animation
32. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.8K),1h 34m,Animation
33. My Hero Academia: You're Next,7.0, (2.6K),1h 50m,Animation
34. The Most Precious of Cargoes,7.1, (1.4K),1h 21m,Animation
35. Haikyuu!! The Dumpster Battle,7.7, (6.5K),1h 25m,Animation
36. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.6K),1h 55m,Animation
37. The Colors Within,7.1, (1.1K),1h 41m,Animation
38. Overlord: The Sacred Kingdom,6.9, (1.4K),2h 15m,Animation
39. That Christmas,6.8, (17K),1h 31m,Animation
40. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2, (8.8K),1h 44m,Animation
41. Lesbian Space Princess,7.1, (178),1h 27m,Animation
42. Hitpig,5.1, (1.1K),1h 26m,Animation
43. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.6K),1h 34m,Animation
44. Ultraman: Rising,6.9, (6.6K),1h 57m,Animation
45. Night of the Zoopocalypse,6.0, (898),1h 31m,Animation
46. White Snake: Afloat,6.9, (553),2h 13m,Animation
47. Given Movie 3: Umi e,7.6, (123),1h 20m,Animation
48. Boys Go to Jupiter,6.8, (111),1h 30m,Animation
49. Frida,7.5, (1.5K),1h 27m,Animation
50. Gekijô-ban Blue Lock -Episode Nagi-,6.6, (2.6K),1h 31m,Animation
51. Buffalo Kids,6.6, (770),1h 33m,Animation
52. Megamind vs. The Doom Syndicate,2.5, (5.7K),1h 23m,Animation
53. Mars,8.4, (24),1h 24m,Animation
54. The Glassworker,7.2, (1.9K),1h 38m,Animation
55. From Ground Zero,7.9, (567),1h 52m,Animation
56. 200% Wolf,5.9, (1.3K),1h 38m,Animation
57. Detective Conan: The Million-Dollar Pentagram,6.7, (1.6K),1h 51m,Animation
58. Dongeng Sang Kancil,6.6, (218),1h 39m,Animation
59. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (4K),1h 22m,Animation
60. The Quintessential Quintuplets Specials 2,6.9, (156),46m,Animation
61. Thelma the Unicorn,5.7, (3K),1h 33m,Animation
62. Mononoke the Movie: The Phantom in the Rain,6.7, (1.4K),1h 29m,Animation
63. Grand Theft Hamlet,6.9, (2.2K),1h 29m,Animation
64. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.7, (1.3K),1h 30m,Animation
