Title,Rating,Votes,Duration,Genre
1. A Complete Unknown,7.3, (90K),2h 21m,Biography
2. I'm Still Here,8.2, (112K),2h 17m,Biography
3. Better Man,7.6, (31K),2h 15m,Biography
4. The Apprentice,7.1, (59K),2h 2m,Biography
5. Saturday Night,6.9, (33K),1h 49m,Biography
6. Queer,6.4, (23K),2h 17m,Biography
7. Maria,6.4, (21K),2h 4m,Biography
8. Queen of the Ring,6.4, (2K),2h 9m,Biography
9. William Tell,5.7, (3K),2h 14m,Biography
10. Ordinary Angels,7.4, (16K),1h 58m,Biography
11. Nr. 24,7.5, (16K),1h 51m,Biography
12. The Bibi Files,7.5, (1.3K),1h 55m,Biography
13. Young Woman and the Sea,7.5, (18K),2h 9m,Biography
14. Back to Black,6.3, (27K),2h 2m,Biography
15. The Fire Inside,6.7, (3K),1h 49m,Biography
16. Piece by Piece,6.9, (6K),1h 33m,Biography
17. Reagan,6.1, (11K),2h 21m,Biography
18. The Beach Boys,7.1, (2.2K),1h 53m,Biography
19. Unfrosted,5.5, (35K),1h 37m,Biography
20. Joy,7.1, (9.9K),1h 55m,Biography
21. Bob Marley: One Love,6.2, (35K),1h 47m,Biography
22. Pavements,7.2, (325),2h 8m,Biography
23. Amaran,8.1, (19K),2h 47m,Biography
24. Harbin,6.2, (938),1h 48m,Biography
25. Boléro,6.6, (863),2h,Biography
26. Cabrini,7.3, (9K),2h 22m,Biography
27. Scoop,6.5, (20K),1h 42m,Biography
28. The Remarkable Life of Ibelin,8.2, (13K),1h 43m,Biography
29. Saint-Exupéry,5.4, (492),1h 38m,Biography
30. Bonhoeffer,6.2, (3.9K),2h 13m,Biography
31. The Great Lillian Hall,7.3, (2.1K),1h 50m,Biography
32. El 47,7.2, (3.5K),1h 50m,Biography
33. Winner,6.5, (2.7K),1h 43m,Biography
34. Being Maria,6.1, (761),1h 40m,Biography
35. Chandu Champion,7.8, (34K),2h 22m,Biography
36. One to One: John & Yoko,7.3, (586),1h 41m,Biography
37. Monsieur Aznavour,7.3, (2.8K),2h 13m,Biography
38. Maharaj,6.5, (15K),2h 11m,Biography
39. Super/Man: The Christopher Reeve Story,8.0, (9.6K),1h 44m,Biography
