Title,Rating,Votes,Duration,Genre
1. The Unholy Trinity,6.2,294,95,Action
2. Gladiator II,6.5,250000,148,Action
3. Dune: Part Two,8.5,640000,166,Action
4. Venom: The Last Dance,6.0,128000,110,Action
5. The Beekeeper,6.3,161000,105,Action
6. Civil War,7.0,243000,109,Action
7. Twisters,6.5,175000,122,Action
8. The Ministry of Ungentlemanly Warfare,6.8,139000,122,Action
9. Deadpool & Wolverine,7.5,506000,128,Action
10. Kraven the Hunter,5.5,62000,127,Action
11. Carry-On,6.5,171000,119,Action
12. The Fall Guy,6.8,226000,126,Action
13. Furiosa: A Mad Max Saga,7.5,291000,148,Action
14. Madame Web,4.1,103000,116,Action
15. Freaky Tales,6.2,7000,107,Action
16. Cells at Work!,6.7,638,109,Action
17. Sonic the Hedgehog 3,6.9,64000,110,Action
18. The Count of Monte-Cristo,7.6,37000,178,Action
19. Dirty Angels,4.4,3900,104,Action
20. Rebel Ridge,6.8,91000,131,Action
21. Fight or Flight,6.4,14000,102,Action
22. Borderlands,4.7,50000,101,Action
23. Transformers One,7.6,54000,104,Action
24. Argylle,5.6,94000,139,Action
25. Godzilla x Kong: The New Empire,6.0,124000,115,Action
26. Road House,6.2,170000,121,Action
27. Kingdom of the Planet of the Apes,6.8,154000,145,Action
28. Elevation,5.6,24000,91,Action
29. Damsel,6.1,111000,110,Action
30. Bad Boys: Ride or Die,6.5,102000,115,Action
31. Absolution,5.2,8800,112,Action
32. The Prosecutor,6.6,2500,117,Action
33. The Union,5.4,54000,107,Action
34. Maharaja,8.4,70000,141,Action
35. Land of Bad,6.6,52000,113,Action
36. The Crow,4.7,36000,111,Action
37. Red One,6.3,142000,123,Action
38. The Lord of the Rings: The War of the Rohirrim,6.3,33000,134,Action
39. The Instigators,6.2,39000,101,Action
40. Kung Fu Panda 4,6.3,70000,94,Action
41. Homestead,5.2,4100,112,Action
42. Survive,4.6,3000,90,Action
43. Drive-Away Dolls,5.4,24000,84,Action
44. Monkey Man,6.8,93000,121,Action
45. The Killer,5.7,13000,126,Action
46. The Shadow Strays,6.5,9600,144,Action
47. Beverly Hills Cop: Axel F,6.4,82000,118,Action
48. Canary Black,5.4,12000,101,Action
49. Arcadian,5.5,24000,92,Action
50. The Killer's Game,5.8,18000,104,Action
51. Old Guy,5.2,3000,94,Action
52. William Tell,5.7,3000,134,Action
53. 40 Acres,6.9,326,113,Action
54. Attack on Titan the Movie: The Last Attack,9.2,17000,145,Action
55. Uglies,4.7,34000,100,Action
56. Uninvited,5.8,293,93,Action
57. Blitz,6.2,17000,120,Action
58. Under Paris,5.2,37000,104,Action
59. Atlas,5.6,57000,118,Action
60. Thelma,7.0,24000,98,Action
61. Lift,5.5,50000,107,Action
62. Azrael,5.4,12000,86,Action
63. Twilight of the Warriors: Walled In,7.0,10000,126,Action
64. Pushpa: The Rule - Part 2,6.1,58000,201,Action
65. Armor,3.6,4500,89,Action
66. 11 Rebels,6.3,657,155,Action
67. Solo Leveling: ReAwakening,8.8,14000,121,Action
68. Hellboy: The Crooked Man,4.5,14000,99,Action
69. The Silent Hour,6.1,8300,99,Action
70. Apocalypse Z: The Beginning of the End,6.1,21000,117,Action
71. Kalki 2898-AD,7.0,68000,180,Action
72. Brothers,5.4,14000,89,Action
73. Take Cover,5.1,2800,90,Action
74. Trigger Warning,4.6,20000,106,Action
75. Rebel Moon - Part Two: The Scargiver,5.3,60000,122,Action
76. Relay,7.5,124,112,Action
77. Red Right Hand,5.5,6000,111,Action
78. Fighter,6.2,53000,166,Action
79. Dan Da Dan: First Encounter,8.2,2900,83,Action
80. Watchmen: Chapter I,7.1,7000,83,Action
81. Jackpot!,5.8,31000,106,Action
82. Aftermath,5.1,4300,97,Action
83. Weekend in Taipei,5.7,5300,100,Action
84. Amaran,8.1,19000,167,Action
85. Aavesham,7.8,29000,155,Action
86. The Fix,4.7,1500,98,Action
87. Marco,6.8,22000,145,Action
88. Cloud,6.3,1500,124,Action
89. Uprising,6.6,5900,126,Action
90. Utopia,3.6,401,91,Action
91. Trouble,6.2,7100,98,Action
92. Werewolves,4.4,7500,93,Action
93. Harbin,6.2,938,108,Action
94. Classified,3.7,2800,105,Action
95. The Roundup: Punishment,6.6,5600,109,Action
96. No Way Up,4.6,11000,90,Action
97. My Spy: The Eternal City,5.7,11000,112,Action
98. Bougainvillea,6.4,3400,138,Action
99. Paradox Effect,5.8,8800,87,Action
100. Role Play,5.5,19000,100,Action
101. Karma,7.9,1500,167,Action
102. The Last Stand of Ellen Cole,7.1,68,97,Action
103. Descendants: The Rise of Red,4.7,7200,91,Action
104. Watchmen: Chapter II,7.1,3400,90,Action
105. Chief of Station,4.7,4800,97,Action
106. Wynonna Earp: Vengeance,5.5,1700,96,Action
107. Hagen,6.0,1400,139,Action
108. Boneyard,4.1,5200,96,Action
109. Khadaan,7.1,2200,137,Action
110. Night Call,6.8,2300,97,Action
111. Justice League: Crisis on Infinite Earths - Part One,6.2,8800,93,Action
112. Damaged,4.7,7600,97,Action
113. Xiong shi shao nian 2,7.5,354,134,Action
114. Toofan,7.4,8600,145,Action
115. Officer Black Belt,6.9,8700,108,Action
116. Yodha,5.7,9000,130,Action
117. Justice League: Crisis on Infinite Earths - Part Three,6.1,4800,94,Action
118. Shark Warning,3.4,350,94,Action
119. Saripodhaa Sanivaaram,7.0,9900,166,Action
120. Chandu Champion,7.8,34000,142,Action
121. The Quiet Ones,6.1,1000,110,Action
122. My Hero Academia: You're Next,7.0,2600,110,Action
123. Singham Again,4.6,75000,144,Action
124. Gunner,3.2,2800,106,Action
125. Devara Part 1,6.0,21000,176,Action
126. Panda Plan,5.1,1500,99,Action
127. Long Gone Heroes,5.1,1300,101,Action
128. Latency,4.2,2900,94,Action
129. Code 8: Part II,5.7,16000,100,Action
130. Sikandar ka Muqaddar,5.9,25000,142,Action
131. Overlord: The Sacred Kingdom,6.9,1400,135,Action
132. River of Blood,5.0,2000,86,Action
133. Alien: Rubicon,2.5,420,86,Action
134. Baby John,5.1,17000,159,Action
135. Terminator: Skynet Rising,6.7,282,88,Action
136. Escape from the 21st Century,6.4,1000,98,Action
137. Badland Hunters,5.9,13000,107,Action
138. Jigra,6.0,24000,153,Action
139. Vedaa,6.0,4500,145,Action
140. Viduthalai Part 2,7.8,16000,170,Action
141. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.2,8800,104,Action
142. Kanguva,4.5,15000,152,Action
143. Bohurupi,7.9,1700,155,Action
144. One More Shot,5.4,3800,103,Action
145. Duchess,4.6,1600,114,Action
146. Joe Baby,5.1,97,86,Action
147. Son's Will,7.4,1000,148,Action
148. The Wages of Fear,4.6,4200,104,Action
149. Lal Salaam,4.5,1400,150,Action
150. Vettaiyan,6.9,40000,163,Action
151. Striking Rescue,5.6,676,111,Action
152. Raayan,6.5,11000,145,Action
153. Black Heat,8.1,133,93,Action
154. Captain Miller,6.9,11000,157,Action
155. A.R.M,7.1,8900,150,Action
156. Hanu Man,7.7,29000,158,Action
157. The Twisters,2.6,393,86,Action
158. Hitpig,5.1,1100,86,Action
159. Escape,6.4,2200,94,Action
160. Anaconda,4.9,665,84,Action
161. Ka Whawhai Tonu,7.2,199,115,Action
162. City Hunter,6.3,5700,102,Action
163. Elyas,6.1,1500,105,Action
164. Justice League: Crisis on Infinite Earths - Part Two,5.5,5600,94,Action
165. Despatch,4.4,4500,153,Action
166. Bade Miyan Chote Miyan,3.7,39000,163,Action
167. The Courier,6.0,4500,101,Action
168. The Family Star,5.4,5600,159,Action
169. Hijack 1971,6.8,3400,100,Action
170. S.T.A.L.K.E.R.: Shadow of the Zone,4.9,604,71,Action
171. Ultraman: Rising,6.9,6600,117,Action
172. Bagheera,6.7,7500,158,Action
173. Dominique,5.3,2300,100,Action
174. Cash Out,4.8,3100,92,Action
175. Alienoid: The Return to the Future,6.5,2700,122,Action
176. Article 370,7.8,25000,158,Action
177. The Greatest of All Time,5.7,23000,183,Action
178. Deep Six,3.6,280,98,Action
180. Handsome Guys,6.5,953,101,Action
181. Thangalaan,6.5,6800,156,Action
182. Baby Invasion,4.6,568,80,Action
183. Mani nude,6.6,55,84,Action
184. Prey,3.7,3400,86,Action
185. Sixty Minutes,5.7,5300,88,Action
186. Guntur Karam,5.4,25000,159,Action
187. Megamind vs. The Doom Syndicate,2.5,5700,83,Action
188. Lights Out,4.9,1800,90,Action
189. A Legend,4.7,1000,129,Action
190. Life After Fighting,6.4,2100,126,Action
191. Pani,6.9,3300,143,Action
192. One Fast Move,5.0,2300,108,Action
193. Troubleshooters,6.5,435,110,Action
194. Agent Recon,2.4,742,85,Action
195. Double iSmart,2.9,2200,156,Action
196. Die Hart: Die Harter,4.3,5600,92,Action
197. 200% Wolf,5.9,1300,98,Action
198. Agni,7.2,15000,122,Action
199. Levels,5.0,1600,93,Action
201. The Price of Money: A Largo Winch Adventure,5.1,1300,100,Action
202. Yolo,6.9,3800,129,Action
203. Darkness of Man,4.7,3300,109,Action
204. Saindhav,5.0,1600,138,Action
205. Gandhi 3,5.7,244,143,Action
206. Akabane Honeko no Bodyguard,6.1,47,117,Action
207. Death Whisperer 2,6.3,1500,110,Action
208. Serra das Almas,5.5,41,120,Action
209. The Clean Up Crew,4.2,1300,95,Action
"210. Love, Courage and the Battle of Bushy Run",5.0,190,113,Action
211. Rifle Club,7.0,4600,113,Action
212. Kingdom 4: Return of the Great General,7.1,1400,145,Action
213. Air Force One Down,4.4,2900,84,Action
214. Raqa,5.6,299,107,Action
215. Gone with the Dead the Movie,4.2,51,96,Action
216. Alien Country,4.4,387,96,Action
217. Siren,6.4,3000,154,Action
218. Auron Mein Kahan Dum Tha,6.4,41000,150,Action
219. The Thundermans Return,5.0,1900,70,Action
220. Ayalaan,5.9,4000,155,Action
221. Tillu Square,6.6,3500,137,Action
222. Savi,6.1,35000,126,Action
223. Revolver,5.4,918,114,Action
224. Mongol,8.6,104,155,Action
225. Eagle,5.9,5000,159,Action
226. Dark Match,5.4,1100,94,Action
227. Fluxx,6.0,120,100,Action
228. Sasan,8.7,83,155,Action
229. Garudan,7.1,3400,133,Action
230. Razakar: The Silent Genocide of Hyderabad,7.4,5300,166,Action
231. Bhaje Vaayu Vegam,6.1,769,136,Action
232. The Ballad of Davy Crockett,4.6,255,96,Action
233. Ferry 2,5.6,3900,94,Action
234. Bidurbhai,9.2,405,148,Action
235. Everybody Loves Jenifa,8.3,97,135,Action
236. Seeds,5.0,221,82,Action
